#ID	start_group[0-10]	arrival_time_s_after_start
M30	0	722.0
M173	0	727.0
M5	0	727.0
M24	0	729.0
M8	0	730.0
M25	0	737.0
M12	0	757.0
M26	0	757.0
M19	0	759.0
M3	0	759.0
M7	0	759.0
M18	0	760.0
M10	0	760.0
M2	0	760.0
M186	0	760.0
M185	0	761.0
M16	0	761.0
M9	0	761.0
M1	0	761.0
M37	0	762.0
M183	0	762.0
M20	0	762.0
M15	0	762.0
M32	0	762.0
M47	0	763.0
M184	0	763.0
M56	0	765.0
M44	0	767.0
M201	0	768.0
M48	0	768.0
M29	0	774.0
M180	0	777.0
M54	0	778.0
M4	0	779.0
M259	0	780.0
M53	0	780.0
M17	0	780.0
M75	0	781.0
M166	0	782.0
M11	0	783.0
M31	0	783.0
M268	0	784.0
M40	0	785.0
M69	0	785.0
M22	0	786.0
M121	0	789.0
M285	0	790.0
M6	0	790.0
M195	0	791.0
M34	0	792.0
M76	0	792.0
M14	0	793.0
M45	0	793.0
M23	0	794.0
M221	0	796.0
M21	0	798.0
M213	0	799.0
M13	0	799.0
M49	0	800.0
M229	0	801.0
M46	0	801.0
M39	0	802.0
M61	0	803.0
M193	0	804.0
M77	0	805.0
M60	0	806.0
M134	0	806.0
M81	0	808.0
M282	0	814.0
M106	0	815.0
M140	0	815.0
M220	0	816.0
M272	0	817.0
M58	0	817.0
M68	0	818.0
M59	0	818.0
M109	0	819.0
M197	0	819.0
M70	0	819.0
M67	0	820.0
M63	0	821.0
M275	0	821.0
M274	0	822.0
M41	0	824.0
M84	0	826.0
M138	0	829.0
M242	0	829.0
M65	0	830.0
M269	0	830.0
M55	0	831.0
M237	0	832.0
M86	0	833.0
M219	0	833.0
M270	0	834.0
M43	0	834.0
F1	0	834.0
F4	0	835.0
M110	0	836.0
M74	0	836.0
M118	0	837.0
M79	0	837.0
M200	0	839.0
M302	0	839.0
M246	0	842.0
M99	0	842.0
M181	0	843.0
M192	0	844.0
M130	0	844.0
M278	0	844.0
M252	0	845.0
M82	0	846.0
M176	0	847.0
M123	0	847.0
M102	0	849.0
M98	0	849.0
M284	0	851.0
M117	0	854.0
